# crate version executable
b3sum	1.8.7	b3sum
bacon	3.25.0	bacon
bat	0.26.1	bat
bottom	0.14.9	btm
cargo-about	0.9.2	cargo-about
cargo-all-features	1.12.0	cargo-all-features
cargo-audit	0.22.2	cargo-audit
cargo-auditable	0.7.5	cargo-auditable
cargo-binstall	1.23.0	cargo-binstall
cargo-binutils	0.4.0	cargo-size
cargo-bloat	0.12.1	cargo-bloat
cargo-cache	0.8.3	cargo-cache
cargo-cyclonedx	0.5.9	cargo-cyclonedx
cargo-deny	0.20.2	cargo-deny
cargo-dist	0.32.0	dist
cargo-edit	0.13.13	cargo-upgrade
cargo-expand	1.0.126	cargo-expand
cargo-feature-combinations	0.7.0	cargo-fc
cargo-fuzz	0.13.2	cargo-fuzz
cargo-geiger	0.13.0	cargo-geiger
cargo-generate	0.24.0	cargo-generate
cargo-hack	0.6.45	cargo-hack
cargo-lambda	1.9.2	cargo-lambda
cargo-llvm-cov	0.9.1	cargo-llvm-cov
cargo-machete	0.9.2	cargo-machete
cargo-msrv	0.19.3	cargo-msrv
cargo-nextest	0.9.143	cargo-nextest
cargo-outdated	0.19.0	cargo-outdated
cargo-release	1.1.5	cargo-release
cargo-semver-checks	0.50.0	cargo-semver-checks
cargo-sort	2.1.4	cargo-sort
cargo-temp	0.4.1	cargo-temp
cargo-tomlfmt	0.2.1	cargo-tomlfmt
cargo-update	22.1.1	cargo-install-update
cargo-vet	0.10.2	cargo-vet
cargo-watch	8.5.3	cargo-watch
cargo-whatfeatures	0.9.13	cargo-whatfeatures
dprint	0.57.4	dprint
dutree	0.2.18	dutree
git-cliff	2.14.1	git-cliff
git-delta	0.19.2	delta
iai-callgrind-runner	0.16.1	iai-callgrind-runner
just	1.58.0	just
markdownlint-rs	0.3.23	mdlint
mdbook	0.5.4	mdbook
mdcat	2.16.0	mdcat
nu	0.115.1	nu
procs	0.14.12	procs
ripgrep	15.2.0	rg
sccache	0.17.0	sccache
starship	1.26.0	starship
taplo-cli	0.10.0	taplo
tickrs	0.15.0	tickrs
tlrc	1.13.1	tldr
tokio-console	0.1.14	tokio-console
topgrade	17.9.0	topgrade
typos-cli	1.50.1	typos
yj	1.2.4	yj
zellij	0.45.1	zellij
